WY_adj,StormDate,DayofFF,AfterFirstFlush,stratum,StormDOWY_adj,water_temp_Δ,sp_cond_Δ,turbidity_Δ,discharge_tf_Δ,velocity_tf_Δ
1974,1973-11-12,1973-11-12,FALSE,Cache Slough and Liberty Island,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,Confluence,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,North and South Forks Mokelumne River,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,Out of Bounds,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,Sacramento River Deep Water Ship Channel,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,Sacramento River Mainstem,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,San Pablo Bay and Carquinez Strait,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,South Delta,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,Suisun Marsh and Montezuma Slough,73,NA,NA,NA,NA,NA
1974,1973-11-12,1973-11-12,FALSE,Suisun and Honker Bays,73,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Cache Slough and Liberty Island,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Confluence,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,North and South Forks Mokelumne River,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Out of Bounds,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Sacramento River Deep Water Ship Channel,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Sacramento River Mainstem,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,San Pablo Bay and Carquinez Strait,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,South Delta,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Suisun Marsh and Montezuma Slough,93,NA,NA,NA,NA,NA
1974,1973-12-02,1973-11-12,TRUE,Suisun and Honker Bays,93,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Cache Slough and Liberty Island,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Confluence,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,North and South Forks Mokelumne River,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Out of Bounds,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Sacramento River Deep Water Ship Channel,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Sacramento River Mainstem,121,0.09999999999999964,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,San Pablo Bay and Carquinez Strait,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,South Delta,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Suisun Marsh and Montezuma Slough,121,NA,NA,NA,NA,NA
1974,1973-12-30,1973-11-12,TRUE,Suisun and Honker Bays,121,NA,NA,NA,NA,NA
1974,1974-01-15,1973-11-12,TRUE,Cache Slough and Liberty Island,137,NA,NA,NA,NA,NA
